Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,Age,Customer_Days,MntTotal,AcceptedCmpOverall,AcceptedCmp5
29732,23,25,0,8,0,1,49,2255,34,0,0
41275,33,24,4,22,0,2,60,2256,52,0,0
63516,30,141,11,114,15,14,47,2517,295,0,0
42769,15,71,0,13,3,1,58,2419,88,0,0
49572,25,35,1,16,0,1,62,2355,53,0,0
69209,4,496,32,849,229,48,48,2809,1654,1,0
17148,80,9,9,11,13,10,44,2311,52,0,0
40590,30,154,0,50,6,11,51,2429,221,1,0
30560,6,9,1,5,4,5,44,2526,24,0,0
32146,16,26,3,23,4,7,37,2207,63,0,0
41713,57,77,8,44,10,10,56,2220,149,0,0
34176,9,11,2,7,4,2,45,2317,26,0,0
58482,59,576,7,115,19,7,65,2268,724,1,0
59686,78,89,15,89,34,42,55,2314,269,0,0
60896,90,1013,30,399,60,46,56,2785,1548,0,0
62994,74,224,12,48,4,12,40,2276,300,0,0
47320,10,200,19,111,50,15,63,2491,395,0,0
74859,63,570,73,614,133,102,71,2550,1492,1,0
15253,13,1,3,3,8,1,28,2403,16,0,0
31560,98,62,1,20,4,0,46,2529,87,0,0
72071,4,531,69,300,150,138,66,2659,1188,0,0
91172,94,162,28,818,0,28,30,2618,1036,4,1
90000,91,675,144,133,94,192,36,2347,1238,3,1
41967,66,23,4,10,0,2,39,2377,39,0,0
69263,14,492,5,32,13,5,55,2275,547,1,0
65706,77,918,10,129,13,0,50,2525,1070,3,1
60934,41,224,155,155,192,93,45,2322,819,0,0
71965,21,572,19,286,50,38,69,2494,965,0,0
65210,25,626,0,70,0,7,65,2270,703,2,0
79174,2,1074,37,518,193,92,45,2693,1914,2,1
81380,51,741,68,689,224,68,53,2713,1790,0,0
48432,3,322,3,50,4,3,47,2778,382,0,0
52914,32,254,10,44,30,10,49,2697,348,1,0
38946,84,116,6,82,6,6,65,2407,216,0,0
26067,49,22,2,18,0,2,46,2396,44,0,0
44325,69,516,0,21,0,0,48,2638,537,1,0
42523,96,14,36,11,3,26,56,2226,90,0,0
26487,23,2,8,10,12,14,42,2564,46,0,0
53233,18,28,0,9,3,0,63,2262,40,0,0
67716,8,530,142,217,62,9,60,2694,960,1,0
76234,21,519,50,167,130,0,48,2302,866,1,0
84117,60,611,76,749,59,45,64,2208,1540,1,1
65487,48,240,67,500,199,0,63,2329,1006,0,0
25224,36,4,9,12,11,2,48,2264,38,0,0
89616,36,671,47,655,145,111,37,2648,1629,0,0
40851,63,23,1,7,0,4,49,2652,35,0,0
27469,2,9,1,2,3,2,73,2855,17,0,0
82347,38,556,54,845,202,133,63,2759,1790,2,0
73803,61,833,80,363,52,26,63,2856,1354,1,0
8820,52,12,0,13,4,2,68,2623,31,0,0
43322,25,56,7,48,10,2,46,2228,123,0,0
55593,63,293,8,124,11,4,47,2471,440,1,0
50501,10,297,0,38,13,0,66,2535,348,1,0
37085,65,39,1,16,2,0,45,2162,58,0,0
16185,71,5,11,16,21,8,30,2487,61,0,0
57731,0,266,21,300,65,8,51,2742,660,0,0
48432,3,322,3,50,4,3,47,2778,382,0,0
73807,88,366,124,156,71,78,42,2702,795,0,0
18929,15,32,0,8,23,4,30,2657,67,0,0
35893,80,158,0,23,0,0,52,2781,181,0,0
61014,17,269,129,495,182,43,40,2846,1118,0,0
32144,76,41,0,10,0,0,66,2257,51,1,0
14918,52,3,3,3,15,4,57,2728,28,0,0
45146,28,33,0,5,0,0,57,2508,38,0,0
41769,31,302,29,131,32,0,65,2660,494,0,0
88325,42,519,71,860,93,27,39,2303,1570,0,0
38054,24,23,2,17,2,1,70,2218,45,0,0
80617,42,594,51,631,72,55,25,2784,1403,0,0
5305,12,12,4,7,1,3,44,2493,27,0,0
36807,88,4,2,5,0,0,66,2715,11,0,0
28427,67,18,3,19,3,3,37,2624,46,0,0
82032,54,332,194,377,149,125,72,2244,1177,0,0
22775,40,5,1,8,0,0,42,2534,14,0,0
40101,73,171,3,129,26,24,35,2782,353,0,0
58025,81,270,31,88,11,48,41,2374,448,0,0
75777,12,712,26,538,69,13,38,2519,1358,2,1
7500,7,2,8,11,3,8,41,2577,32,0,0
33562,33,21,12,12,0,3,57,2163,48,0,0
57642,24,580,6,58,8,0,50,2330,652,1,0
58554,55,368,24,68,38,0,52,2800,498,0,0
63777,87,457,5,106,15,17,41,2621,600,0,0
57967,39,229,7,137,4,0,58,2642,377,0,0
24434,9,3,2,8,20,0,48,2201,33,0,0
11012,82,24,3,26,7,1,36,2629,61,1,0
44802,71,853,10,143,13,10,50,2836,1029,0,0
26816,50,5,1,6,3,4,34,2840,19,0,0
34421,81,3,3,7,6,2,46,2522,21,0,0
61223,46,709,43,182,42,118,53,2540,1094,0,0
64014,56,406,0,30,0,0,74,2178,436,1,0
56981,91,908,48,217,32,12,39,2314,1217,1,0
69245,8,428,30,214,80,30,64,2315,782,0,0
52869,40,84,3,61,2,1,66,2781,151,0,0
